#-*-sh-*-
# 
# H1 HERA-I diffractive DIS data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "ddis"  # A unique alpos name 
Description                    	"H1 DDIS NC e-p 98-99"
Reference                       "Eur.Phys.J. C48 (2006) 715-748" 
arXiv                           hep-ex/0606004
Inspire                         718190
Title                           "Measurement and QCD Analysis of the Diffractive Deep-Inelastic Scattering Cross Section at HERA"



########################################################## 
#  Theory function settings 
##########################################################  
TheoryFunction                   QcdnumDDISCS


########################################################## 
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           301.       # sqrt-s only needed if y is not given in table
e-charge                         -1.
e-polarity                       0.
IsReducedCS                      true
IsNC                             true


##########################################################          
#
#   Data table
#
##########################################################          

#   ColumnType = 4*'Bin','Sigma',14*'Error'
#   ColumnName = 'xp','Q2','beta','mx','reduced x-section','stat','sys','total','unc','lar','ele','thSpac','noise',xpom','Ubeta','bg','Plug','Q2err','spa' 
#   Percent =  14*true

Data {{
"xp"      "Q2"         "beta"       "mx"             "Sigma"          "stat"  "sys"    "tot"  "unc"    "lar" "ele"   "thSpac"   "noise" "xpom"  "Ubeta"   "bg"    "Plug"  "Q2err" "spa"   TrigSpa
0.0003    3.5 	 	 0.17 	     4.13379       	 0.0224 	 17.2 	 10.8 	 20.3 	 1.6 	 0.2 	 5.3 	 -1.7    -4.7 	 -0.6 	 -0.8 	 0.0 	 -0.0 	 3.0 	 1.7       1.0 
0.0003    3.5 	 	 0.27 	     3.07619       	 0.0262 	 7.6 	 6.4 	 9.9 	 1.6 	 0.2 	 1.3 	 2.7     -4.6 	 -0.4 	 -0.5 	 -0.1 	 -0.1 	 1.0 	 1.8       1.0 
0.0003    3.5 	 	 0.43 	     2.15396       	 0.0351 	 5.5 	 6.2 	 8.3 	 1.6 	 0.2 	 0.2 	 1.6     4.6 	 -1.6 	 -0.2 	 0.0 	 -0.1 	 1.2 	 0.7       1.0 
0.0003    3.5 	 	 0.67 	     1.31297       	 0.0443 	 5.5 	 11.7 	 13.0 	 1.6 	 0.3 	 -1.0 	 1.9     11.2 	 -0.3 	 0.7 	 -0.1 	 0.1 	 0.9 	 0.8       1.0 
0.0003    5.0 	 	 0.27 	     3.67675       	 0.0392 	 11.9 	 7.7 	 14.2 	 1.6 	 0.4 	 3.8 	 1.4     4.7 	 -0.3 	 -0.8 	 0.0 	 0.1 	 1.0 	 2.4       1.0 
0.0003    5.0 	 	 0.43 	     2.57447       	 0.0422 	 7.7 	 7.0 	 10.4 	 1.6 	 0.4 	 -0.8 	 1.5     4.9 	 -1.7 	 -0.1 	 0.0 	 -0.2 	 1.1 	 3.0       1.0 
0.0003    5.0 	 	 0.67 	     1.56929       	 0.0528 	 7.9 	 9.8 	 12.6 	 1.6 	 -0.2 	 -0.6 	 2.6     9.0 	 -0.2 	 0.7 	 0.0 	 -0.0 	 1.0 	 1.4       1.0 
0.0003    6.5 	 	 0.43 	     2.93535       	 0.0452 	 11.0 	 7.8 	 13.5 	 1.6 	 -0.8 	 -2.7 	 1.9     5.3 	 -1.2 	 0.1 	 0.0 	 -0.4 	 0.9 	 3.4       1.0 
0.0003    6.5 	 	 0.67 	     1.78927       	 0.0580 	 9.5 	 8.9 	 13.0 	 1.6 	 0.1 	 1.2 	 0.9     7.6 	 -0.8 	 0.9 	 0.0 	 0.3 	 0.7 	 2.6       1.0 
0.0003    8.5 	 	 0.43 	     3.3567        	 0.0353 	 18.2 	 11.0 	 21.3 	 1.6 	 -0.5 	 6.5 	 1.3     5.5 	 -0.7 	 0.0 	 0.0 	 -0.5 	 0.3 	 5.8       1.0 
0.0003    8.5 	 	 0.67 	     2.04611       	 0.0570 	 11.7 	 9.5 	 15.0 	 1.6 	 0.2 	 -0.5 	 0.6     6.9 	 -1.6 	 0.8 	 0.0 	 -0.2 	 0.4 	 4.6       1.0 
0.0003    12.0 	 	 0.67 	     2.43114       	 0.0670 	 18.1 	 10.0 	 20.7 	 1.6 	 0.2 	 0.3 	 -1.4    8.5 	 -0.8 	 1.2 	 0.0 	 0.0 	 0.6 	 3.6       1.0 
0.001     3.5 	 	 0.05 	     8.15475       	 0.0167 	 15.5 	 6.5 	 16.8 	 1.7 	 -0.7 	 1.0 	 -1.6    -2.6 	 -1.0 	 -2.2 	 0.0 	 0.4 	 -0.1 	 0.5       1.0 
